normalized_parcel,address,seismic_rows,rso_unit_count
5530-026-002,944    Orange Grove Ave,1,20.0
5530-026-003,936   Orange Grove Ave,1,11.0
5530-026-007,910   Orange Grove Ave,1,20.0
5530-026-010,909    Ogden Dr,1,9.0
5530-026-011,915   Ogden Dr,1,19.0
5530-026-012,921   Ogden Dr,1,18.0
5530-026-015,939    Ogden Dr,1,16.0
5530-026-018,953    Ogden Dr,1,10.0
5530-026-019,900    Orange Grove Ave,1,20.0
5530-026-021,920   Orange Grove Ave,1,17.0
5530-027-010,905   Orange Grove Ave,1,8.0
5530-027-013,919   Orange Grove Ave,1,8.0
5530-027-016,937   Orange Grove Ave,1,9.0
5530-027-017,943    Orange Grove Ave,1,9.0
5530-027-018,947    Orange Grove Ave,1,9.0
5530-027-019,7860   Romaine St,1,2.0
5531-001-001,7408   Fountain Ave,1,3.0
5531-001-016,1220   Gardner St,1,6.0
5531-001-019,1231   Vista St,1,5.0
5531-001-022,1215   Vista St,1,3.0
5531-002-010,1162   Gardner St,1,9.0
5531-002-015,1147   Vista St,1,11.0
5531-002-018,1131   Vista St,1,6.0
5531-003-013,1215   Fuller Ave,1,10.0
5531-003-017,1251   Fuller Ave,1,18.0
5531-003-026,1144   Vista St,1,6.0
5531-003-027,1140   Vista St,1,6.0
5531-003-033,1108   Vista St,1,5.0
5531-004-027,1130   Fuller Ave,1,11.0
5531-004-031,1148   Fuller Ave,1,6.0
5531-004-032,1154   Fuller Ave,1,6.0
5531-004-033,1202   Fuller Ave,1,24.0
5531-004-035,1212   Fuller Ave,1,10.0
5531-004-037,1226   Fuller Ave,1,22.0
5531-005-002,1241   Poinsettia Pl,1,5.0
5531-007-028,1143   Formosa Ave,1,9.0
5531-007-034,1205   Formosa Ave,1,10.0
5531-007-035,1209   Formosa Ave,1,9.0
5531-007-036,1217   Formosa Ave,1,8.0
5531-007-039,1231   Formosa Ave,1,10.0
5531-007-040,1235   Formosa Ave,1,10.0
5531-007-041,1239   Formosa Ave,1,3.0
5531-007-049,7236   Fountain Ave,1,19.0
5531-008-003,1211   Detroit St,1,20.0
5531-008-023,7171   Lexington Ave,1,10.0
5531-009-006,1133   Detroit St,1,8.0
5531-009-018,1132   Formosa Ave,1,9.0
5531-010-012,7120   Lexington Ave,1,12.0
5531-011-020,1216   Detroit St,1,8.0
5531-021-013,1034   Martel Ave,1,10.0
5531-022-006,1022   Vista St,1,10.0
5531-022-009,1042   Vista St,1,10.0
5531-022-033,1054   Vista St,1,13.0
5531-023-007,1032   Gardner St,1,16.0
5531-023-018,1019   Vista St,1,10.0
5531-024-012,950    Gardner St,1,8.0
5531-024-013,942    Gardner St,1,14.0
5531-024-014,934    Gardner St,1,16.0
5531-024-019,904    Gardner St,1,7.0
5554-001-005,1429   Fairfax Ave,1,14.0
5554-002-003,1411   Fairfax Ave,1,23.0
5554-002-008,1309   Fairfax Ave,1,23.0
5554-002-014,1314   Hayworth Ave,1,22.0
5554-003-004,1433   Hayworth Ave,1,17.0
5554-004-013,1312   Laurel Ave   1312-1,1,13.0
5554-004-014,1320   Laurel Ave,1,19.0
5554-004-019,1350   Laurel Ave,1,20.0
5554-005-004,1427   Laurel Ave,1,14.0
5554-005-005,1417   Laurel Ave,1,15.0
5554-005-006,1411   Laurel Ave,1,17.0
5554-005-008,1400   Crescent Heights Blvd,1,10.0
5554-006-004,1327   Laurel Ave,1,20.0
5554-006-005,1321   Laurel Ave,1,14.0
5554-006-011,1340   Crescent Heights Blvd,1,16.0
5554-006-013,1350   Crescent Heights Blvd,1,16.0
5554-006-014,1360   Crescent Heights Blvd,1,19.0
5554-007-009,1428   Havenhurst Dr,1,20.0
5554-008-007,1308   Havenhurst Dr,1,30.0
5554-009-010,1201   Crescent Heights Blvd,1,40.0
5554-009-011,8107   Norton Ave,1,6.0
5554-009-012,8115   Norton Ave,1,10.0
5554-010-001,8000   Fountain Ave,1,7.0
5554-010-004,1267   Laurel Ave,1,23.0
5554-010-006,1253   Laurel Ave,1,14.0
5554-010-007,1245   Laurel Ave,1,15.0
5554-010-020,1224   Crescent Heights Blvd,1,16.0
5554-010-022,1242   Crescent Heights Blvd,1,20.0
5554-011-006,1263   Hayworth Ave,1,28.0
5554-011-008,1245   Hayworth Ave,1,17.0
5554-011-013,1205   Hayworth Ave,1,10.0
5554-011-016,7969   Norton Ave,1,15.0
5554-011-017,7979   Norton Ave,1,8.0
5554-011-019,1218   Laurel Ave,1,16.0
5554-011-020,1226   Laurel Ave,1,16.0
5554-011-021,1234   Laurel Ave,1,22.0
5554-011-025,1266   Laurel Ave,1,16.0
5554-011-027,1280   Laurel Ave,1,25.0
5554-012-009,1241   Fairfax Ave,1,14.0
5554-012-018,1206   Hayworth Ave,1,14.0
5554-012-019,1226   Hayworth Ave,1,39.0
5554-012-020,1234   Hayworth Ave,1,48.0
5554-012-021,1246   Hayworth Ave,1,18.0
5554-013-014,1120   Laurel Ave,1,14.0
5554-013-022,1109   Hayworth Ave   A,1,5.0
5554-013-027,1122   Hayworth Ave   1122-1,1,24.0
5554-014-015,8120   Norton Ave,1,9.0
5554-014-016,8116   Norton Ave,1,4.0
5554-014-017,8110   Norton Ave,1,9.0
5554-014-019,1125   Crescent Heights Blvd,1,6.0
5554-015-001,1114   Harper Ave,1,13.0
